Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2015,    02,  07,     14.257,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150207_f17_nrt_n.bin
2015,    02,  08,     14.409,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150208_f17_nrt_n.bin
2015,    02,  09,     14.432,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150209_f17_nrt_n.bin
2015,    02,  10,     14.476,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150210_f17_nrt_n.bin
2015,    02,  11,     14.410,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150211_f17_nrt_n.bin
2015,    02,  12,     14.424,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150212_f17_nrt_n.bin
2015,    02,  13,     14.422,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150213_f17_nrt_n.bin
2015,    02,  14,     14.492,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150214_f17_nrt_n.bin
2015,    02,  15,     14.575,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150215_f17_nrt_n.bin
2015,    02,  16,     14.500,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150216_f17_nrt_n.bin
2015,    02,  17,     14.355,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150217_f17_nrt_n.bin
2015,    02,  18,     14.382,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150218_f17_nrt_n.bin
2015,    02,  19,     14.371,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150219_f17_nrt_n.bin
2015,    02,  20,     14.428,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150220_f17_nrt_n.bin
2015,    02,  21,     14.569,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150221_f17_nrt_n.bin
2015,    02,  22,     14.595,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150222_f17_nrt_n.bin
2015,    02,  23,     14.496,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150223_f17_nrt_n.bin
2015,    02,  24,     14.492,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150224_f17_nrt_n.bin
2015,    02,  25,     14.526,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150225_f17_nrt_n.bin
2015,    02,  26,     14.502,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150226_f17_nrt_n.bin
2015,    02,  27,     14.418,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150227_f17_nrt_n.bin
2015,    02,  28,     14.388,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150228_f17_nrt_n.bin
2015,    03,  01,     14.509,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150301_f17_nrt_n.bin
2015,    03,  02,     14.424,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150302_f17_nrt_n.bin
2015,    03,  03,     14.477,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150303_f17_nrt_n.bin
2015,    03,  04,     14.387,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150304_f17_nrt_n.bin
2015,    03,  05,     14.255,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150305_f17_nrt_n.bin
2015,    03,  06,     14.341,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150306_f17_nrt_n.bin
2015,    03,  07,     14.303,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150307_f17_nrt_n.bin
